Question,Answer
What is the procedure for registering for classes?,Class registration is done online before the semester begins.
Sample Question 54,Sample Answer
Can we find any Xerox shops near the campus?,"Yes, there are Xerox shops nearby."
What should we give in the column on immunization history?,"You can provide your vaccination details, if any."
Can I fill the form and fee payment in college?,"Yes, but it may be time-consuming, so it's better to do it beforehand."
How do we activate net banking for SBI?,You need to apply for net banking through the official website or visit the bank.
Should parents attend the orientation?,"No, parents don't need to attend the orientation."
Is roll number the same as application number?,"No, roll number and application number are different."
Is character certificate necessary for admission?,"Yes, you need a character certificate from your school or another authority."
Do we need to bring original documents?,"Yes, bring original documents along with self-attested copies."
What's the process for paying fees through Rupay?,"You can use Rupay debit card, but if there’s a problem, try net banking."
Can we pay the fees in installments?,"No, the full semester fee must be paid at once."
What is the total fee for the 4-year course?,The total fee is approximately 13.6 lakhs for the 4-year program.
Is there a mess facility in the hostels?,"Yes, every hostel has its own mess facility."
Can we choose our hostel?,"No, hostels are randomly allotted to students."
How many days before the semester begins should we arrive?,Arriving 2-3 days before the semester starts is recommended.
Do we need a laptop from the first semester?,"Yes, a laptop is necessary from the first semester for coding and assignments."
Are there any clubs for entrepreneurship?,"Yes, there are clubs like the E-Cell for entrepreneurship enthusiasts."
Is there an alumni network?,"Yes, IIITK has an active alumni network."
What is the procedure to get a loan for college fees?,You can apply for an education loan at a bank with the college's admission letter.
Do students go on trips during holidays?,"Yes, students often organize trips during semester breaks."
How is the student life at IIITK?,"Student life is vibrant with many clubs, events, and activities."
What are the best hostels in IIITK?,"All hostels are well-maintained, but preference depends on personal experience."
How many internships are available for second-year students?,"Second-year students can find internships, but most internships are from third year onward."
Do companies come for internships in the second year?,"Yes, but most internship opportunities come in the third year."
What is the average salary for placements?,The average placement salary is around 10-12 lakhs per annum for CSE.
Can we change our branch after the first year?,"Yes, branch change is possible based on first-year CGPA and seat availability."
How is the security in hostels?,The hostels have tight security with CCTV cameras and security guards.
Are there any fitness facilities in IIITK?,"Yes, IIITK offers both indoor and outdoor gym facilities."
What is the procedure to join a club?,Most clubs conduct interviews or have registration forms at the beginning of the semester.
Is there a dress code at IIITK?,"There is no strict dress code, but decency in dressing is expected."
Do we need to bring our own bedding for the hostel?,"Yes, you need to bring your own bedding for the hostel."
How do we get Wi-Fi access on campus?,You will get your login credentials for campus Wi-Fi during orientation.
